Дія,Коефіціент,Дозволи,Об'єкт,Коефіціент,Кількість,,,,
МІсії захисту,,,,,,,,,
Побудувати,2,"Окоп, Барикаду,
 мега барикаду,
 колючий дріт, вежу, 
турель",Окоп,2,1-4,,,,
Знищити на підконтроьному секторі,3,ворога,Барикаду,3,1,,,,
Придбати,2,броню,Мега барикаду,4,1-2,,,,
Захопити,2,сектори,Колючий дріт,3,1-2,,,,
Відремонтувати,3,"персонажу, броню",Вежу,4,1-2,,,загальний коефіціент балів,1
Полікувати,3,персонажу ,Турель,5,1-2,,,,
нанести шкоду з турелі,2.5,"ворога, мутанти",ворога,5,1-5,,,загальний коефіціент валюти,0.33
,,,персонажу,4,1-3,,,,
,,,броню,3,1-4,,,,
,,,сектори,1.5,3-6,,,,
,,,мутанти,3,1-5,,,,
,,,Точки,,,,,,
Місії атаки,,,,,,,,,
Вбити,3,"NPC, ІГ",Ігрових персонажів,5,1-5,,,,
Знищити,3,"Будівлі, Транспорт, 
ТУрель, Техніку, 
Захисні споруди",NPC,4,1-4,,,,
Побудувати,2,Радіовежу,Будівлі,6,1-4,,,,
Застосувати,1.5,"Артилерію, гранати",Артилерія,7,1 - 3,,,,
Стати ворожим до,3,NPC,Траспорт,6,1-3,,,,
Нанести шкоду з,2,"Артилерію, гранати,
транспорт",Турель,7,1-2,,,,
Перехопити ,5,Точку,Техніку,5,1-4,,,,
,,,Гранати,5,1-4,,,,
,,,Захисні споруди,4,1 -4,,,,
,,,Радіовежу,6,1,,,,
,,,Точку,15,1,,,,
Місії економіка,,,,,,,,,
Купити ,2,"предмети магазину, 
найманців, транпорт",Предмет магазину,2,1-9,,,,
Налагодити стосунки з,4,NPC,Найманців,4,1-3,,,,
Побудувати,2,"ринок, точки",Ринок,3,1,,,,
Накопити,1,"Валюта, залізо",Валюта,0.5,"10, 15, 20, 30",,,,
Подружитись,4,NPC,Залізо,2,"4, 6, 8, 10, 12",,,,
Прод./Куп.,2,"Гравців, NPC",NPC,8,1-2,,,,
Нанести шкоду (ким?),3,"Наймаці, траспорт",Гравців,5,1-2,,,,
Витратити,1,"Валюту, залізо",точки,3,1-3,,,,
,,,Транспорт з магазину,4,1-3,,,,
Місії лут,,,,,,,,,
Здобути,2,"Артефакт, Шматок мутанта
мислівський ніж",Шмаки мутантів,2,1-8,,,,
Вбити,2,Мутантів,Артефакт ,12,1 - 3,,,,
дійти до,3,центрального сект.,Аномалія 1 рів.,5,1 - 2,,,,
Використати,3,мисливський ніж,Аномалія 2 рів.,5,1 - 2,,,,
Обікрасти,4,"склад, лут дроном",Аноалія 3 рів.,5,1 -2,,,,
Побудувати,1,склад,центральний сектор,5,1,,,,
Обмінятись з,2,NPC,мисливський ніж,3,1 - 3,,,,
Дослідити,4,Аномалії,склад,6,1,,,,
,,,NPC,8,1 - 3,,,,
,,,Мутантів 1 рів.,2,2 - 8,,,,
,,,Мутантів 2 рів.,5,1 - 5,,,,
,,,Мутантів 3 рів.,7,1 - 4,,,,
,,,лут дроном,1,1 - 4,,,,